Date,Source(s),Timezone,Steps,Distance (m),Elevation (m),Floors climbed,Total Calories (kcal),Active Calories (kcal),Power min (W),Power max (W),Power avg (W),Speed min (m/s),Speed max (m/s),Speed avg (m/s),VO2 max min (ml/min/kg),VO2 max max (ml/min/kg),VO2 max avg (ml/min/kg),Wheelchair pushes,Start Date/Time,Exercise Name,Duration (min)
2026-03-27,com.google.android.apps.fitness,America/Sao_Paulo,607,2208.594899058342,,,1977,,,,,0.26,1.18,0.41,,,,,,,
2026-03-28,com.google.android.apps.fitness,America/Sao_Paulo,14242,12008.722259422531,,,2907,,,,,0.02,4.04,0.62,,,,,,,
2026-03-28,com.hevy,America/Sao_Paulo,,,,,2907,,,,,,,,,,,,2026-03-28 13:28:09,"Treino A (Sexta) - Peito, Ombros e Tríceps",85
2026-03-28,com.sec.android.app.shealth,America/Sao_Paulo,14242,5415.570068359375,,,2907,,,,,0.92,1.67,1.25,,,,,2026-03-28 12:57:00,79 - Walking,13
2026-03-28,com.sec.android.app.shealth,America/Sao_Paulo,14242,5415.570068359375,,,2907,,,,,0.92,1.67,1.25,,,,,2026-03-28 20:35:30,79 - Walking,12
2026-03-28,com.sec.android.app.shealth,America/Sao_Paulo,14242,5415.570068359375,,,2907,,,,,0.92,1.67,1.25,,,,,2026-03-28 21:39:03,79 - Walking,15
2026-03-28,com.sec.android.app.shealth,America/Sao_Paulo,14242,5415.570068359375,,,2907,,,,,0.92,1.67,1.25,,,,,2026-03-28 22:09:20,79 - Walking,42
2026-03-29,com.google.android.apps.fitness,America/Sao_Paulo,7125,4663.30904841423,,,2302,,,,,0.01,1.22,0.48,,,,,,,
2026-03-29,com.hevy,America/Sao_Paulo,,,,,2302,,,,,,,,,,,,2026-03-29 10:59:23,Treino B (Sábado) - Costas,66
2026-03-29,com.sec.android.app.shealth,America/Sao_Paulo,7125,,,,2302,,,,,,,,,,,,,,
2026-03-30,com.google.android.apps.fitness,America/Sao_Paulo,7309,6419.2722662091255,,,2020,,,,,0.26,2.07,0.56,,,,,,,
2026-03-30,com.sec.android.app.shealth,America/Sao_Paulo,7309,,,,2020,,,,,,,,,,,,,,
2026-03-31,com.google.android.apps.fitness,America/Sao_Paulo,5416,3253.8488788604736,,,2900,,,,,0.01,1.32,0.57,,,,,2026-03-31 18:00:00,café com jiu-jitsu,60
2026-03-31,com.sec.android.app.shealth,America/Sao_Paulo,5416,,,,2900,,,,,,,,,,,,,,
2026-04-01,com.google.android.apps.fitness,America/Sao_Paulo,6274,4830.440809965134,,,2561,,,,,0.26,1.41,0.44,,,,,,,
2026-04-01,com.hevy,America/Sao_Paulo,,,,,2561,,,,,,,,,,,,2026-04-01 21:07:37,Treino C (Domingo),70
2026-04-01,com.sec.android.app.shealth,America/Sao_Paulo,6274,,,,2561,,,,,,,,,,,,,,
2026-04-02,com.google.android.apps.fitness,America/Sao_Paulo,4296,2675.694798707962,,,2708,,,,,0.26,6.23,0.60,,,,,2026-04-02 18:00:00,no-gui,60
2026-04-02,com.sec.android.app.shealth,America/Sao_Paulo,4296,,,,2708,,,,,,,,,,,,,,
2026-04-03,com.google.android.apps.fitness,America/Sao_Paulo,1877,961.8991882801056,,,1793,,,,,0.28,0.35,0.31,,,,,,,
2026-04-03,com.sec.android.app.shealth,America/Sao_Paulo,1877,,,,1793,,,,,,,,,,,,,,
2026-04-04,com.google.android.apps.fitness,America/Sao_Paulo,15803,11871.70925743848,,,2712,,,,,0.11,3.28,0.79,,,,,,,
2026-04-04,com.hevy,America/Sao_Paulo,,,,,2712,,,,,,,,,,,,2026-04-04 13:13:57,Treino B (Sábado) - Costas,45
2026-04-04,com.sec.android.app.shealth,America/Sao_Paulo,15803,6915.409912109375,,,2712,,,,,0.92,1.58,1.30,,,,,2026-04-04 14:59:54,79 - Walking,14
2026-04-04,com.sec.android.app.shealth,America/Sao_Paulo,15803,6915.409912109375,,,2712,,,,,0.92,1.58,1.30,,,,,2026-04-04 15:24:58,79 - Walking,15
2026-04-04,com.sec.android.app.shealth,America/Sao_Paulo,15803,6915.409912109375,,,2712,,,,,0.92,1.58,1.30,,,,,2026-04-04 15:49:24,79 - Walking,51
2026-04-04,com.sec.android.app.shealth,America/Sao_Paulo,15803,6915.409912109375,,,2712,,,,,0.92,1.58,1.30,,,,,2026-04-04 18:21:17,79 - Walking,19
2026-04-05,com.google.android.apps.fitness,America/Sao_Paulo,5028,3514.176441192627,,,1964,,,,,0.27,1.13,0.40,,,,,,,
2026-04-05,com.sec.android.app.shealth,America/Sao_Paulo,5028,,,,1964,,,,,,,,,,,,,,
